title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Abraham Darby,Абрахам дерби,Абрикосовый,Сильный,150,120,3,1,14,12,слабая,средняя,средняя," Английская кустовая роза ( English Shrub Rose) Abraham Darby (Абрахам Дерби) – одна из популярных английских роз Дэвида Остина. Цветки абрикосово-желто-розовые, классической старинной формы, чашевидные, крупные, диаметр цветка 10-12 см, густомахровые (около 70 лепестков). Аромат богатый, фруктовый с освежающей остротой с очень сильной фруктовой ноткой клубники. Преобладание того или иного оттенка зависит от погоды. В жару цветки более персиковые, в холодную погоду более розовые. Цветки появляются по одному на концах длинных побегов, или чаще в небольших кистях до 3 шт. Куст мощный, густой, округлой формы, колючий. Высота и ширина куста около 125 см. Листва кожистая, блестящая. Сорт быстрорастущий, так что его можно использовать как плетистую розу. При выращивании в качестве куста великолепно выглядит в группах на заднем плане миксбордера или в центре клумбы. Устойчивость к заболеваниям средняя, болеет в неблагоприятные годы.","Austin, Великобритания, 1985",anglijskie_rozy,yes,abrakham-derbi
,Алан Титчмарш,Розовый,Слабый,170,130,5,3,14,12,слабая,сильная,сильная,"                        Роза с дугообразно поникающими побегами и крупными глубокочашевидными густомахровые цветками со слегка загибающимися внутрь лепестками. Внешние лепестки у цветков бледно-розовые, центральные гораздо ярче - светящегося теплого розового цвета. Боковые побеги склоняются под весом цветов в кистях по 3-4 шт до земли, в то время как центральные базальные побеги удерживают гораздо более крупные очень рыхлые кисти, создавая эффект канделябра. Аромат нежный, розовое масло с ноткой цитруса. Цветение в соцветиях, повторное. Молодая листва красная, позднее становится блестящей темно-зеленой. Очень хорошая устойчивость к заболеваниям.",Austin,anglijskie_rozy,yes,alan-titchmarsh
Buttercup,Баттеркап,,Сильный,120,100,3,1,8,6,средняя,сильная,сильная,"                        Куст крупный, с полумахровыми, чашевидными цветками средних размеров насыщенного, темно-желтого цвета, с более темными тычинками и ароматом чайных роз. Цветки появляются на концах тонких прямостоячих побегов. Розу можно посадить на заднем плане бордера за более низкими растениями. Очень устойчив к заболеваниям.У этой розы сливочно-желтые чашевидные цветки, собранные в густые кисти на длинных вертикальных стеблях. Только что раскрывшиеся цветки – более темные, почти абрикосовые, но со временем бледнеют. Под тяжестью соцветий ветви поникают, образуя раскидистый куст, который хорошо вписывается в романтический бордер с кустарниками и многолетниками. Цветки полумахровые, с легким, свежим ароматом. Заказать саженцы роз Баттеркап (Buttercup) в Москве можно, нажав кнопку ""в корзину""! ","Austin Великобритания, 1998",anglijskie_rozy,yes,batterkap
Bathsheba,Батшеба,Абрикосовый,Очень сильный,300,200,5,3,12,10,средняя,сильная,сильная,"                        Сорт Bathsheba - прекрасное дополнение к коллекции плетистых английских роз.  Длинные, элегантные, абрикосово-желтые бутоны раскрываются в классические плоские розетки размером 10-12 см каждая, наполненные множеством плотно уложенных лепестков. Цветы демонстрируют красивое сочетание оттенков: верхняя сторона лепестков имеет нежный абрикосово-розовый тон, в то время как нижняя сторона - приятный мягкий желтый оттенок. Наружные лепестки каждого цветка - кремового тона, что дает замечательный эффект ореола. Общее впечатление от цветов - насыщенный абрикосовый цвет. Роза обладает великолепным ароматом с нотами мирры - цветочный и теплый по характеру, с оттенками меда. По мере старения цветов аромат приобретает нотки чая.",,anglijskie_rozy,yes,batsheba
,Беатрис,Желтый,Сильный,,75,3,1,12,10,слабая,сильная,слабая,"                        Идеальный выбор для загородной свадьбы или особого летнего дня рождения.  Центр чашевидного цветка с завитками золотых тычинок плотно обрамлен волнистыми приподнятыми и уложенными по спирали лепестками теплого сливочно-желтого цвета, с более светлыми крайними лепестками. Цветок постепенно раскрывается в стройную розетку с четко очерченной границей желто-золотистого цвета центральных лепестков и более прохладного светло-ванильного цвета крайних лепестков. Окраска цветка при понижении температуры воздуха становится ближе к абрикосовой. Аромат сильный и сложный, мирры с нотами меда, сирени, фруктов и миндаля. Интенсивность аромата 4 балла из 5. Цветы густомахровые, 83 лепестка в одном цветке, крупные, в среднем 10 см, классической чашевидно-розетковидной формой цветка. Цветение непрерывное в течение сезона одиночными цветками или в небольших соцветиях до трех цветков на ветке. Побеги вертикальные, сильные. Высота и ширина куста до 75 см. Листва темно-зеленая. Срезанный цветок сохраняется в вазе 9 дней. Цветы Беатрис напоминают радости первого пьянящего лета, когда она расцветает между загородным домом и деревенским сараем. Стиль с гессианами (мешковина) и землистыми акцентами, чтобы захватить дымку солнечных дней в сельской местности. Хорошо сочетается с Эдит, Пейшнс или Констанс",David C. H. Austin Великобритания,anglijskie_rozy,yes,beatris
,Бенджамин Бриттен,Красный,Сильный,150,130,3,1,12,10,сильная,сильная,сильная,"                        Роскошные цветки этой розы, махровые, ностальгической формы. Их иного и они светящиеся темно-красного с оранжевым оттенком цвета, медленно раскрываются до чашевидной формы. Цветки 10—12 см в диаметре, одиночные или собранные в небольшие соцветия. Прекрасный интенсивный фруктовый аромат, с оттенками вина и грушевых леденцов.  Куст ветвистый прямостоячий ,высотой 150 см и шириной 90 см с густой чисто-зеленой здоровой листвой. Цветет с начала лета и до начало осени. Сорт имеет высокую устойчивость к чёрной пятнистости и мучнистой росе.",,anglijskie_rozy,yes,bendzhamin-britten
,Боскобель,Лососевые,Сильный,130,110,3,1,12,10,сильная,сильная,сильная,"                        Роза Боскобель (Boscobel ) селекции David Austin с кораллово-розовыми на сильных стеблях обращенными вверх цветами в форме розетки. Цветы распускаются из красных бутонов , которые открываются сначала в красивые чашки, постепенно превращаясь в классические густомахровые розетки насыщенного лососевого цвета диаметром 10-12 см. Многочисленные маленькие лепестки, разных оттенков, смешиваются, чтобы обеспечить наиболее приятный эффект. Цветы с восхитительным, средне-сильным ароматом мирры, имеет характер боярышника с оттенками цветков бузины, груши и миндаля Цветение в соцветиях, повторное, обильное. Куст энергичного роста, быстро образует прямостоячий куст средней величины, размером 120 х 105 см. с темно-зеленой, глянцевой листвой с высокой устойчивостью к болезням.","Austin, Великобритания, 2012",anglijskie_rozy,yes,boskobel
Brother Cadfael,Бразе Кедфайл,Розовый,Сильный,120,100,3,1,16,14,средняя,средняя,средняя,"                        У Brother Cadfael пожалуй одни из самых крупных и красивых цветков среди английских роз. Цветы глубоко чашевидные, загнутые внутрь лепестки усиливают эффект; цвет - глубокий розовый. Несмотря на свои гигантские размеры, цветы никогда не бывают неряшливыми, а остаются свежими и сохраняют свой вид в течение долгого времени. Роза имеет необычайно сильный аромат. Куст очень пропорциональный.",Austin,anglijskie_rozy,yes,braze-kedfayl
,Визли 2008,Розовый,Средний,150,120,3,1,8,7,слабая,сильная,сильная,"                        Это роза невероятного изящества и очарования, пожалуй в наибольшей степени из всех известных нам роз. Цветки - широко раскрытые чашевидные розетки около 8 см в диаметре. Лепестки уложены в идеальном порядке. Окраска очень нежно-розовая, внешние лепестки бледнее по краям. Сорт похож на старинные розы alba, например ""Queen of Denmark"". Куст с элегантно изогнутыми побегами, сильный, цветет по всей длине побегов. Куст достигает 1,5 м в высоту, хотя обрезкой его можно сдерживать на высоте 1 м. Аромат деликатный, свежий, фруктовый, с чайными и малиновыми нотками. Назван в честь известного сада в Визли.",Austin,anglijskie_rozy,yes,vizli-2008
,Воллертон олд Холл,Кремовые,Сильный,150,130,5,3,10,8,сильная,сильная,сильная,"                        Одна из самых ароматных Английских роз. Сильный характерный запах мирры освежают тонкие нотки цитруса. Крепкие бутоны с проблесками красного раскрываются в чашевидные густомахровые цветки нежного абрикосового цвета, позже становясь бежевыми. Формирует здоровый густой прямостоячий куст с несколькими побегами. Прекрасно сочетается с другими розами или кустарниками, а также с многолетниками. Можно формировать в виде невысокой плетистой розы. ","Austin,Великобритания,2011",anglijskie_rozy,yes,vollerton-old-kholl
