title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Eyes for You,Айс фо Ю,Двухцветный,средний,,75,5,3,,10,средняя,сильная,сильная,"                        Необычная роза селекции Питера Джеймса. Этот гибрид Rosa persica цветет кистями крупных цветков около 10 см в диаметре, сиренево-розовой окраски с пурпурным пятнышком в центре. Аромат насыщенный. Куст округлый, около 75 см в высоту.",,floribunda_rozi,yes,ays-fo-yu
,Акрополис,Розовый,Слабый,100,70,5,3,6,5,слабая,слабая,слабая," Среднерослая флорибунда уникального цвета - розовые цветки по мере распускания становятся кофейно-коричневыми. Идеальна для срезки.  Куст невысокий крепкий 60-80 см. Листья светло зеленые, блестящие. Цветы уникального цвета по мере роспуска из розовых превращаются в кофейно-розовые с зеленоватым оттенком (Роза-Хамелеон), махровые, диаметром 6 см., собранные в соцветия от 2-7 шт. Цветы в виде шариков держатся довольно долго. Быстрое повторное цветение. Зимостойкость и устойчивость к болезням неплохая. ","Meilland Франция, 2001",floribunda_rozi,yes,akropolis
,Алабастр,Кремовые,Слабый,90,70,7,3,10,8,средняя,средняя,средняя,"                        Цветки густомахровые, кремово-белые, диаметром 8-10 см, собираются в зонтиковидные соцветия по 3-5 цветков; на кусте держатся долго. Цветение повторное, обильное, почти не прерывное. Куст ветвистый, округлой формы, с тёмно-зелёной, блестящей листвой (молодая листва с бронзовым отливом).",Tantau,floribunda_rozi,yes,alabastr
Ali Dorate,Али Дорате,Желтый,Слабый,90,70,10,5,8,7,средняя,сильная,сильная,"                        Большая масса желтых цветов делает этот сорт подходящим для создания солнечных и очень ярких клумб, при этом быстрое и непрерывное появление новых цветков обеспечит отличный эффект в течение всего сезона. Цветки многочисленные, лимонно-жёлтые, с золотистыми тычинками, среднего размера (7-8 см ) , в больших соцветиях.",,floribunda_rozi,yes,ali-dorate
Andre Brichet,Андре Брише,Розовый,Сильный,100,80,5,3,9,8,сильная,сильная,сильная,,,floribunda_rozi,yes,andre-brishe-
Angela,Анжела,Розовый,Слабый,,100,10,5,6,5,"Очень хорошая, цветки дождём не портятся","Очень хорошая, практически не болеет","Очень хорошая, практически не болеет","                        Angela превосходная и необычная роза, и ее популярность по всему миру продолжает расти. Прекрасно себя чувствует в любом климате, от холодного континентального до средиземноморского. Цветки Angela бледно-розовые, с малиновым реверсом – примечательное сочетание, глубоко чашевидные, что встречается у немногих роз, за исключением, разве что, Raubritter. Цветки никогда не раскрываются полностью, появляются в очень больших тугих кистях, где хорошо виден контраст между красной внешней стороной и розовым центром. Куст очень выносливый и здоровый, хорошо облиственный. Листва зеленая, блестящая. В холодном климате куст достаточно прямостоячий, с более жарких областях вырастает в высокий дугообразный куст до 2 м, и может использоваться как плетистая роза. Сертифицирована по системе ADR в 1982 г. ","Kordes, 1984",floribunda_rozi,yes,anzhela
,Аспирин Роуз,Белый,Слабый,80,50,10,5,6,4,сильная,сильная,сильная,"                        Невысокая флорибунда с белыми цветками, в полуроспуске с розовым оттенком в центре. С одинаковым успехом может использоваться и как шраб, и как почтвопокровная роза. Цветки махровые (50-60 лепестков), диаметром 4-6 см, самоочищающиеся (осыпаются до того, как засохнут). Цветение в соцветиях (до 15 штук), обильное, почти непрерывное. Куст густой, раскидистый, листва зелёная, глянцевая.","Tantau, Германия, 1997",floribunda_rozi,yes,aspirin-rouz
Out of Rosenheim,Аут оф Розенхайм,Красный,Слабый ,80,60,5,3,9,8,сильная,сильная,сильная,,,floribunda_rozi,yes,aut-of-rozenkhaym-
Baron Girod de L’Ain,Барон Жиро де лен,,сильный,150,125,5,3,8,7,средняя,средняя,сильная,"                        Привлекательная, необычная роза с белыми краями темно-малиновых лепестков, благодаря чему создается эффект слегка рваных краев, с хорошим ароматом. Махровые, чашевидные цветки появляются в кистях на колючих побегах. Листва темно-зеленая, куст немного неаккуратный. Достигает 1,5 м в высоту. Зимостоек, выносит бедные почвы. Для сдерживания роста нуждается в сильной обрезке в середине лета.",,floribunda_rozi,yes,baron-zhiro-de-len
,Баронесса,Розовый,Слабый,80,60,5,3,8,6,слабая,сильная,сильная,"                        Роза из цикла ностальгических флорибунд. Цветки насыщенно-розового цвета, размером 6-8 см, густомахровые (80-100 лепестков), старинной розетковидной формы, с лёгким ароматом. Цветение в небольших соцветиях, обильное, повторное, продолжительное. Листва тёмно-зелёная, глянцевая, с высокой устойчивостью к заболеваниям.","Tantau, Германия, 2009",floribunda_rozi,yes,baronessa
