title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Azore,Азор,Абрикосовый,Слабый,70,50,10,5,7,5,сильная,сильная,сильная,,,miniatyurnie_cprei_rozi,yes,azor
Eye Opener,Ай Опинер,Двухцветный,Слабый,80,60,10,5,5,4,сильная,сильная,сильная,"Яркая двуцветная роза имеет бело-зеленую основу, которая словно окунута в вишневую краску. Края лепестков имеют розовую окантовку, которая придает  определенный шарм букетам из этих роз.",,miniatyurnie_cprei_rozi,yes,ay-opiner
Alegria,Алегрия,Оранжевый,Слабый,70,60,10,5,,5,сильная,средняя,средняя,"Саженцы роз Алегри довольно неприхотливы и не требуют к себе особенного внимательного ухода, поэтому хорошо будут себя чувствовать даже в руках начинающих розоводов! Бутоны этого сорта практически не имеют аромата. Куст прямостоячий, высотой 60-70см, отличается устойчивыми побегами, имеющими в своем распоряжении до 30 бутонов каждый. Цветы оранжево-розового цвета, бокаловидной формы, около 5 см в диаметре. Растение цветет весь сезон, щедро одаривая своего владельца приятными эмоциями!",,miniatyurnie_cprei_rozi,yes,alegria
Antigua,Антигуа,,,,,,,,,,,,                       ,,miniatyurnie_cprei_rozi,yes,antigua
Apricot Lace,Априкот Лейс,Абрикосовый,Слабый ,80,60,10,5,8,6,сильная,средняя,средняя,                        ,,miniatyurnie_cprei_rozi,yes,aprikot-leys
,Беби Романтика,Лососевые,Легкий,40,30,5,3,4,3,Среднее,Среднее,," Изумительно красивая розочка – романтика в миниатюре. Цветки шаровидные, густомахровые, из 26-40 лепестков – желтых с бордовым краем. Цветет обильно и продолжительно, крупными, рыхлыми кистями, кустик объемный, пушистый. Подвержена черной пятнистости. При длительных дождях цветки загнивают. Цветок густо-махровый, полушаровидный, розовый с желтой серединой с абрикосовыми оттенками; в зависимости от погоды может меняться оттенок. Аромат слабый. Куст компактный, густой, с темно-зеленой, полу-глянцевой листвой.",,miniatyurnie_cprei_rozi,yes,bebi-romantika
Bilona,Билона,Сиреневый,,70,40,7,4,,4,средняя,средняя,средняя,"                        Сорт  «Билона» — это очень красивая роза с редким сиренево-фиолетовым цветом  махровых цветков. Цветение обильное, длительное. Применяется данный сорт для украшения  клумб, бордюров. Куст  высотой около 40 см и шириной 30-40 см. Бутоны чашевидной формы, диаметром около 4 см. Цветет роза, начиная с мая и до заморозков. Аромат легкий, нежный. Роза «Билона» характеризуется высокой морозостойкостью и засухоустойчивостью. Данный сорт обладает хорошим иммунитетом к основным заболеваниям и не повреждается от атак вредителей.",,miniatyurnie_cprei_rozi,yes,bilona
,Бланшэтт,Зеленый,Слабый,80,40,5,3,8,6,средняя,Высокаясредняя,,"                        Махровые, шаровидные белые со светло-зеленым оттенком цветы собраны в небольших соцветия. Цветение в течение всего сезона","Tantau Германия, 2004",miniatyurnie_cprei_rozi,yes,blanshett
White Yo-Yo,Вайт Йо-Йо,Белый,,,,,,,,,,,                       ,,miniatyurnie_cprei_rozi,yes,vayt-yo-yo
White Lydia,Вайт Лидия,Белый,слабый,80,60,10,5,5,3,средняя,сильная,сильная,"                        Белоснежные бутоны саженцев роз Вайт Лидия напоминают легкие брызги на фоне зеленой листвы. Если Вам захотелось привнести в свой садовый уголок чуточку небрежной игривости - смело приобретайте этот саженец! Невысокие кусты этой розы цветут обильно, непрерывно, к трем годам растение приобретает необычайную силу. Сажать сорт лучше всего небольшими группами - это будет смотреться эффектнее, нежели саженцы, растущие поодиночке. Растение потрясающе переносит холода благодаря своему аккуратному кусту. Саженцы довольно неприхотливы, хорошо переносят заболевания. Бутоны источают легкий нежный аромат, что довольно ожидаемо при первом взгляде на розу.",,miniatyurnie_cprei_rozi,yes,vayt-lidiya
