title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Alberich,Альберих,Красный,Слабый,60,40,10,5,3,2,слабая,слабая,слабая,"Цветки саженцев роз Альберих обладают глубоким неразбавленным оттенком, распускаются, как правило, в огромных кистях, чем, несомненно, радуют розоводов! Высота куста у этой розы около 50 см, количество цветков на стебле достигает отметки в 10-25 шт, бутоны в диаметре распускаются всего до пары-тройки см. Особое внимание стоит обратить на высокую устойчивость  к болезням. Аромат роза издает легкий, цветет непрерывно весь сезон.",De Ruiter Нидерланды,muskusnye_rozy,yes,alberih
,Букаву,Малиновый,Слабый,150,120,10,5,6,5,сильная,сильная,сильная,"                        Цветет крупными кистями от вишнево-красных до карминно - розовых не махровых цветков с белым центром. Аромат мягкий, умеренный. Цветки прекрасно переносят дождь. Цветение повторное, в течение всего сезона. Куст густой, высотой от 90 до 185 см и такой же ширины. Сорт с очень высокой устойчивостью к заболеваниям. Подходит для живой изгороди, и посадки в миксбордеры. Может расти в полутенистом месте.                    ",Lens Бельгия,muskusnye_rozy,yes,bukavu
,Букет Парфэ,Розовый,Слабый,150,130,,,6,4,сильная,сильная,сильная,"                        Роза Букет Парфэ ( Bouquet Parfait) - современный Гибрид мускусной розы, непрерывно-цветущий кустарник, с характерными для этого сорта крупными соцветиями на концах прочных вертикально растущих побегов. Плотные соцветия шаровидной формы создают идеально стройные букеты цветков, пригодных для срезки. Цветки молочно-белые с изменяющимися оттенками розового по краям и кремового по центру, махровые, показывают желтые тычинки, среднего размера, диаметр цветка 5 см.  Оттенки цветков меняются от погодных условий, на солнце превалируют бело кремовые тона, в прохладную погоду цветки более розового тона. Аромат легкий. Цветение непрерывное, с июня до октября. Куст вертикально растущий, энергичного роста, высотой 125 - 150 см, с очень здоровой листвой. ","Lens, Бельгия, 1989",muskusnye_rozy,yes,buket-parfe
Waterloo,Ватерлоо,Белый,Слабый,125,100,10,5,3,2,слабая,сильная,сильная,"                        Этот гибрид розы мускусной - настоящий подарок для аранжировщиков. Цветет мелкими махровыми белыми цветками, собранными в кисти на концах побегов. Они эффектно контрастируют с красноватыми черешками и темными серо-зелеными листьями. Роза хороша в одиночной посадке благодаря красивой, округлой форме куста, но подходит и для живой изгороди. Срезка соцветий на букеты стимулирует образование новых цветочных побегов.","Lens, Бельгия, 1996",muskusnye_rozy,yes,Waterloo
,Динки,,слабый,120,100,10,5,5,4,сильная,сильная,сильная,"Роза Динки – мускусный гибрид, привлекающий внимание своими яркими цветками фуксиново-розового окраса. Садоводы часто используют его для приусадебных участков в декоративных целях. Роза мускусная Динки впервые была выведена в Бельгии в 2002 году. Она морозоустойчивая. Листья и бутоны не подвержены заболеваниям. Прямостоячий непрерывно цветущий сорт с карминно-розовыми цветками в крупных кистях. Цветки прекрасно выдерживают дождь. Листва очень устойчива к заболеваниям, темно-зеленая, блестящая. Очень долго стоит в срезке. В период цветения куст розы выглядит очень празднично, как будто украшен яркими махровыми шарами.",,muskusnye_rozy,yes,dinki
Sally Holmes,Салли Холмс,Белый,Слабый,150,120,10,5,8,7,средняя,средняя,слабая,"                        В окраске доминируют кремовый и медовый цвета. Они хорошо сочетаются друг с другом и могут по мере старения выцветать до белого цвета. Выцветание не умаляет прелести цветков, окраска не становятся некрасивой по сравнению с первоначальной. Сорт здоровый, выносливый, но в самых холодных регионах ему требуется защита. Легкий приятный прохладный аромат - отдельный цветок почти не пахнет, но все вместе они распространяют ощутимое благоухание. В крупных кистевидных соцветиях насчитывается до 40 бутонов. Растение густо покрыто соцветиями, и, когда оно в полном цвету, не видно ничего, кроме цветков. Цветки в соцветиях распускаются постепенно, поэтому цветение продолжается долго. В конце сезона цветение повторяется. Кусты крупные, сильные, ветви способны удерживать тяжесть многочисленных цветков. Внизу куст выглядит недостаточно облиственным. Листья привлекательные, но они могли бы быть лучшим фоном для цветков, если бы были более темного оттенка. Сорт устойчив к болезням, но в конце сезона может поражаться мучнистой росой. Пригоден для смешанных бордюров, живых изгородей и одиночных посадок.","Holmes, Великобритания, 1976",muskusnye_rozy,yes,salli-kholms
Heavenly Pink,Хевенли Пинк,,Средний ,120,90,10,5,3,2,средняя,сильная,средняя,"Саженцы роз Хевенли Пинк. Прямостоячий непрерывно цветущий мускусный гибрид великолепного качества. Красивые пирамидальные кисти элегантных, ароматных густомахровых нежно-розовых цветочков в форме розеток. Великолепен в срезке. Высота 60-90 см.",,muskusnye_rozy,yes,Hevenli%20pink
,Алден Бизен,Розовый,Слабый,200,120,10,5,3,2,слабая,сильная,сильная,"                        Прямостоячий куст с поникающими концами побегов, легко выпускает новые базальные побеги длиной от 125 до 150 см, быстро нарастает. Крупные пирамидальные кисти простых розовых цветков с возрастом зеленеют. После этого долго не опадают и прекрасно подходят для аранжировок.                    ","Lens, 1996",muskusnye_rozy,yes,alden-bizen
Allevia,Аллевия,,,,,,,,,,,,                       ,,muskusnye_rozy,yes,alleviya
Ballerina,Балерина,Розовый,слабый,70,50,50,40,5,4,средняя,средняя,средняя,"                        Мускусная роза Балерина подходит для выращивания тем садоводам, которые не привыкли удивляться!Интересная плоская форма цветка саженцев этого сорта непременно притянет к себе взоры. Растение имеет ярко-розовый оттенок с белоснежным центром. Бутоны собираются в огромные соцветия по 40-50 штук, все эти многочисленные цветочки издают завораживающий легкий аромат. Эта красота отлично переносит жару и холод, цветет на протяжении всего сезона, а также имеет хорошую устойчивость к заболеваниям. Заказать саженцы роз Балерина  в Москве можно, нажав кнопку ""в корзину""!                    ",,muskusnye_rozy,yes,balerina
