title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Abraham Darby,Абрахам дерби,Абрикосовый,Сильный,150,120,3,1,14,12,слабая,средняя,средняя," Английская кустовая роза ( English Shrub Rose) Abraham Darby (Абрахам Дерби) – одна из популярных английских роз Дэвида Остина. Цветки абрикосово-желто-розовые, классической старинной формы, чашевидные, крупные, диаметр цветка 10-12 см, густомахровые (около 70 лепестков). Аромат богатый, фруктовый с освежающей остротой с очень сильной фруктовой ноткой клубники. Преобладание того или иного оттенка зависит от погоды. В жару цветки более персиковые, в холодную погоду более розовые. Цветки появляются по одному на концах длинных побегов, или чаще в небольших кистях до 3 шт. Куст мощный, густой, округлой формы, колючий. Высота и ширина куста около 125 см. Листва кожистая, блестящая. Сорт быстрорастущий, так что его можно использовать как плетистую розу. При выращивании в качестве куста великолепно выглядит в группах на заднем плане миксбордера или в центре клумбы. Устойчивость к заболеваниям средняя, болеет в неблагоприятные годы.","Austin, Великобритания, 1985",pionovidnye_rozy,yes,abrakham-derbi
,Адмирал,Красный,Очень сильный,120,80,3,1,15,12,сильная,сильная,сильная,"                        Эта чайно-гибридная роза из серии Nostalgie сначала завораживает своими таинственными черными бутонами. Бутоны открываются в крупные, бархатные, рубиново-красные цветы. Прекрасная наполненность лепестками, магический цвет и сладкий грушевый аромат этой розы очаровывают. Роза пригодна для срезки, для клумб и для посадки небольшими группами.",Tantau,pionovidnye_rozy,yes,admiral
,Айвори Ив Пьяже,Кремовые,Сильный,90,70,,1,10,8,средняя,сильная,сильная,,,pionovidnye_rozy,yes,ayvori-iv-pyazhe
,Анжи Романтика,,Очень Сильный ,100,70,,2,11,9,средняя,сильная,сильная,"                        Романтичнеская роза с деликатным, но сильным ароматом лимона и аниса. Густо-махровый (более 80 лепестков) цветок нежных кремово-розовых оттенков, чашевидной формой, в открытии в профиль напоминает цветок старинной ""антикварной"" розы. Стебель прямой и крепкий, длиной 70-100 см, отлично подходит для срезки: в вазе цветы простоят 10-12 дней.",Meilland ,pionovidnye_rozy,yes,anzhi-romantika
,Баронесса,Розовый,Слабый,80,60,5,3,8,6,слабая,сильная,сильная,"                        Роза из цикла ностальгических флорибунд. Цветки насыщенно-розового цвета, размером 6-8 см, густомахровые (80-100 лепестков), старинной розетковидной формы, с лёгким ароматом. Цветение в небольших соцветиях, обильное, повторное, продолжительное. Листва тёмно-зелёная, глянцевая, с высокой устойчивостью к заболеваниям.","Tantau, Германия, 2009",pionovidnye_rozy,yes,baronessa
,Беатрис,Желтый,Сильный,,75,3,1,12,10,слабая,сильная,слабая,"                        Идеальный выбор для загородной свадьбы или особого летнего дня рождения.  Центр чашевидного цветка с завитками золотых тычинок плотно обрамлен волнистыми приподнятыми и уложенными по спирали лепестками теплого сливочно-желтого цвета, с более светлыми крайними лепестками. Цветок постепенно раскрывается в стройную розетку с четко очерченной границей желто-золотистого цвета центральных лепестков и более прохладного светло-ванильного цвета крайних лепестков. Окраска цветка при понижении температуры воздуха становится ближе к абрикосовой. Аромат сильный и сложный, мирры с нотами меда, сирени, фруктов и миндаля. Интенсивность аромата 4 балла из 5. Цветы густомахровые, 83 лепестка в одном цветке, крупные, в среднем 10 см, классической чашевидно-розетковидной формой цветка. Цветение непрерывное в течение сезона одиночными цветками или в небольших соцветиях до трех цветков на ветке. Побеги вертикальные, сильные. Высота и ширина куста до 75 см. Листва темно-зеленая. Срезанный цветок сохраняется в вазе 9 дней. Цветы Беатрис напоминают радости первого пьянящего лета, когда она расцветает между загородным домом и деревенским сараем. Стиль с гессианами (мешковина) и землистыми акцентами, чтобы захватить дымку солнечных дней в сельской местности. Хорошо сочетается с Эдит, Пейшнс или Констанс",David C. H. Austin Великобритания,pionovidnye_rozy,yes,beatris
,Бланшэтт,Зеленый,Слабый,80,40,5,3,8,6,средняя,Высокаясредняя,,"                        Махровые, шаровидные белые со светло-зеленым оттенком цветы собраны в небольших соцветия. Цветение в течение всего сезона","Tantau Германия, 2004",pionovidnye_rozy,yes,blanshett
Bridal Piano,Брайдал Пиано,Розовый,сильный,120,100,5,3,7,6,средняя,сильная,сильная,"                         Роза имеет одновременно признаки спрей-розы и чайно-гибридной розы. Цветоносы крепкие, прямые, длинные. Соцветие образовано как правило 3-5 смотрящими вверх шаровидными бутонами. Цветы ностальгической формы. Наружные лепестки – молочно-белые с зеленоватой каймой, внутренние – нежно-розовые. Центр цветка имеет более насыщенную розовую окраску. Цветок медленно распускается и долго держится на стебле. Цветение обильное, повторное – чуть скромнее. Стандартная обрезка на зиму и укрытие двойным слоем нетканного укрывного материала обеспечивают стабильную зимовку. Роза не болеет, цветы дождем практически не повреждаются. ","ChristianEvers, Germany, 2013",pionovidnye_rozy,yes,braydal-piano
White O'Hara,Вайт Охара,Белый,Очень сильный,110,100,,1,14,10,средняя,средняя,средняя,"                        White O’Hara очень тонкая, с великолепным ароматом садовая роза, символ бесподобной красоты и романтики Лепестки бархатно-белые с легким перламутром на изгибах приобретают к центру цветочной розетки оттенок слоновой кости. Зефирные формы образуют большой романтический бутон. Красивый бокаловидный бутон медленно раскрывается и цветок постепенно увеличивается в ширину. Яркий цитрусовый аромат сопровождается шлейфом нот вербены, зеленого яблока и свежескошенной травы, аромат Франции, который чувствуется на расстоянии. Именно эта роза – любимица невест, ей украшают столы молодоженов и используют для свадебных букетов и бутоньерок.",,pionovidnye_rozy,yes,vayt-okhara
,Виктория Пич,Кремовые,Слабый,100,80,,1,11,10,сильная,сильная,сильная,"                        Роза Виктория Пич махровая, бутоны туго набиты лепестками, причудливо извивающимися в центре цветка. Достаточно крупная, диаметр в среднем 10 см. Насладится первыми её бутонами Вы сможете ещё в начале мая, она не раз за летний сезон выпускает бутоны, изредка передыхая, завершает же своё цветение глубокой осенью с наступлением устойчивых холодов.   Вас также порадует красота и опрятность не только цветка, но и куста. При среднем размере в 80 см высоту и примерно таком же в ширину, куст розы Victorian Peach не рыхлый, с густой темно-зеленой листвой и ровными тонкими стеблями. Все эти характеристики позволяют цветку быть в топе среди флористов. В вазе цветок стоит долго, не теряя своей свежести.    Отдельно отметим, что сорт нетребователен в уходе, подходит для посадки в контейнерах, миксбордерах, розариях и др.",,pionovidnye_rozy,yes,viktoriya-pich
,Вувузела,Розовый,Слабый ,110,80,,1,10,8,средняя,сильная,сильная,"                        Саженцы розы чайно-гибридной Вувузела (Rosa Vuvuzela) – редкий сорт с уникальной пионовидной формой розетки и красивой неоднородной окраской лепестков. Куст с мощными прямыми побегами достигает около 100 сантиметров в высоту и 70 в диаметре. Листья плотные, оливково-зеленые. На одном побеге завязывается от 1 до 3 бутонов. Центральные взъерошенные многочисленные лепестки окрашены в оранжево-желтый оттенок, ближе к краям окраска более прямых лепестков становится кораллово-алой. Цветение – продолжительное, бутоны распускаются медленно и долго держатся на кусте. Растение предпочитает солнечные зоны, рыхлые плодородные участки.",De Ruiter,pionovidnye_rozy,yes,vuvuzela
,Вувузела Романтик,Розовый,Средний,,80,,1,10,9,средняя,средняя,средняя,                        Срезочная пионовидная роза. Махровый пионовидный бутон розы Вувузела Романтик никого не сможет оставить равнодушным. Данный вид королевы цветов — один из самых популярных среди сортов в стиле английской садовой розы.,,pionovidnye_rozy,yes,vuvuzela-romantik
,Гайд Парк,Желтый,Слабый,120,100,,1,12,10,сильная,сильная,сильная,                        ,"Нидерланды, 2017",pionovidnye_rozy,yes,gayd-park
,Герцогиня Кристиана,Розовый,Очень сильный,90,70,5,3,6,4,Хорошая,сильная,сильная,"                        Флорибунда из коллекции Parfuma с сильным, насыщенным ароматом, который сам селекционер описывает так: ""лимон, брызги шампанского, а затем спелая малина, а также аромат спелых яблок в саду после летнего дождя."" Максимальной интенсивности аромат достигает к вечеру. Цветки помпонной формы, густомахровые (85-95 лепестков), кремово-нежно-розовые, диаметром 4-5 см, сосредоточены в большие соцветия. Цветение повторное, обильное. Листва густая, среднего размера, тёмно-зелёная, плотная, глянцевая, с высокой сопротивляемостью к болезням. Морозоустойчивость высокая.","Kordes, Германия, 2013",pionovidnye_rozy,yes,gertsoginya-kristiana
,Голден Вувузела,Желтый,Средний,100,80,,1,10,8,средняя,средняя,средняя,"                        Пионовидная красавица родственница уже знакомой нам розы сорта Вувузела. От своей «сестры» Голден Вувузела отличается приятным золотисто-кремовым оттенком лепестков со светлыми наружными лепестками . Цветки крупные (9-10см в диаметре), густомахровые с волнистыми как бы гофрированными лепестками, собраны в небольшие соцветия, цветки смотрят вверх Приятный аромат. Зеленый глянцевый плотный лист устойчив к мучнистой росе. Прочные вертикальные побеги , кусты высотой 80см.",,pionovidnye_rozy,yes,golden-vuvuzela-
,Голден Селебрейшен,Желтый,Сильный,150,120,5,3,16,14,сильная,сильная,сильная,"                        У этой розы гигантские, шаровидные цветки на элегантно поникающих ветвях. Цвет медно-желтый, необычный для английских роз. Если ближе рассмотреть лепестки, видно, что эффект создается за счет множества мелких розовых точек на глубоком желтом фоне. Запах сильный. Значительная устойчивость к заболеваниям. Превосходный сорт во всех отношениях, соединяющий в себе красоту,силу и элегантность. Один из лучших сортов Остина. Быстро растет и вырастает в крупный куст. При хорошем уходе цветет обильно. Цветки густомахровые. В жарком климате может выращиваться как невысокая плетистая роза. Великолепные цветки этой изумительной английской розы сочетают старинную форму с вполне современной окраской. Желтые с красным бутоны распускаются в густомахровые цветки 8-14 см в диаметре, с внутренними лепестками, образующими чашевидную форму, и отогнутыми внешними. Цвет обычно насыщенно яично-желтый, но могут появляться и персиковые или розовые тона, создавая медно-желтый оттенок. Цветки появляются в небольших кистях, часто поникают. Аромат легкий или средний, его описывают как пряный или фруктовый. Обильно цветет ранним летом, затем следуют быстро повторяющиеся волны повторного цветения до конца сезона. Побеги слегка или умеренно колючие, дуговидные, с блестящей ярко-зеленой листвой. Куст округлый, раскидистый, достигает 120-150 см высотой и столько же шириной в самом холодном климате, и до 180-200 см в жарких странах.",,pionovidnye_rozy,yes,golden-selebreyshen
,Гравити,,Средний,100,90,,1,,10,сильная,сильная,сильная,"                        Пионовидная роза Гравити станет прекрасным украшением вашего сада. Нежно розовые внутренние лепестки причудливо уложенные в середине цветка обрамляют светло-зелёные наружные  лепестки . Такое нежнейшее сочетание цветов привлекает внимание и несомненно станет изюминкой в саду . Цветение очень обильное в течение сезона. Сорт устойчив к болезням. Цветы долго держатся на кусте , и долго стоят в срезке .",,pionovidnye_rozy,yes,graviti
