title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Iceberg,Айсберг,Белый,Сильный,450,240,10,5,7,5,средняя,сильная,сильная,"Роза Айсберг названа так из-за своих белоснежных лепестков. Цветки у растения плоские, чашевидные, средне-махровые (25-35 лепестков), распускаясь полностью, раскрывают среднюю часть бутона. Аромат у розы очень мягкий, тонкий. Куст со светло-зеленой, глянцевой листвой. Саженцы этого сорта обладают хорошей устойчивостью к мучнистой росе и черной пятнистости.",,pletictie_rozi,yes,iceberg
,Алоха,,Слабый,250,200,5,3,10,9,слабая,сильная,сильная,                       ,,pletictie_rozi,yes,alokha
,Антик 89,Розовый,Слабый,300,200,5,3,13,12,средняя,сильная,сильная,"                        Роза плетистая Antike 89 благодаря своим сортовым характеристикам по праву считается одной из лучших роз-клаймберов, существующих сегодня на рынке.  Кусты лозящей культуры, густо разрастаясь, достигают высоты 2-3 метра и ширины до 200 см. Корневая система мощная, глубоко проникающая в почву. Плети прямые и довольно гибкие, но жёсткие, покрыты среднего размера шипами. Крупная плотная листва имеет тёмно-зелёный цвет и глянцевый блеск.","Kordes, Германия, 1988",pletictie_rozi,yes,Antik%2089
Billet Doux,Бийе Ду,Розовый,Сильный,300,200,5,3,9,7,средняя,средняя,средняя,"                        Цветки из 50-60 лепестков, светло-розовые с белыми полосками (иногда розовые с кремовыми полосами). Тонкие, нежные лепестки немного портятся дождем. Куст очень мощный, сорт может выращиваться, как полуплетистый с подвязкой побегов к опоре.",Delbard,pletictie_rozi,yes,biye-du
Bienvenue,Бьенвеню,Розовый,сильный,300,250,3,1,,10,средняя,средняя,средняя,"                        Бьенвеню, как и все розы дельбара,- шикарная и экзотическая.! Тяжелые густомахровые цветы насыщенного розового цвета с гофрированными краешками лепестков немного склоняются на стебле. Но прочные побеги хорошо держат крупные цветы. Роза имеет очень приятный аромат старинных роз. Цветение длительное, повторное. Устойчивость к болезням и морозам хорошая, а вот от ветра и дождя тяжелые цветы страдают. Роза плетистая, но можно ее выращивать и как высокий шраб. ",,pletictie_rozi,yes,benvenyu
Vanille Fraise,Ванилла Фрейз,Полосатые,Средний,,2,3,1,11,10,средняя,сильная,сильная,"                        Привлекательный сорт плетистой розы 'VANILLE FRAISE' - ""Ванильная клубника"" соответствует своему названию, отличается нежным и оригинальным колоритом цветов , окрашенных клубнично красными и ванильного цвета штрихами. Цветы изысканной формы, густомахровые, около 50 лепестков, крупные ( от 9.5 см), собраны в соцветия. Лепестки цветков причудливо и хаотично испещрены красными, малиново клубничного оттенка и желто кремовыми, ванильными мазками так, что невозможно сказать, какой цвет преобладает и является фоном. Аромат умеренный, приятный фруктовый. Цветение обильное, ремонтантное в течение всего сезона до морозов. Куст быстро растущий, ветвистый, со слегка поникающими побегами, формируется высотой от 250 до 300 см. и шириной до 150 см.Листва ярко зеленая. Сорт очень устойчив к погодным изменениям и заболеваниям, хорошо зимует.   ",,pletictie_rozi,yes,vanilla-freyz
Westerland,Вестэрланд,Оранжевый,Сильный,200,160,10,5,11,10,средняя,сильная,сильная,"Уникальные качества саженцев роз Вестерланд признаны садоводами во всем мире!Цвет листьев этой розы - это смешение оранжевого, розового, желтого и красного оттенков. Цветки крупные, полумахровые. Лепестки волнистые, игриво уложенные друг на друга. Распускаться роза начинает рано, имеет свойство цвести повторно до поздней осени. Каждая волна цветения очень длительная, так что куст редко стоит без цветов. Листва удлиненная, темная, устойчива к заболеваниям и хорошо оттеняет яркие цветки. Куст сильнорослый, прямостоячий, хорошо разветвленный и довольно колючий. Очень устойчивая к болезням роза.   ","Kordes, Германия, 1969",pletictie_rozi,yes,vecterland-westerland
Arlequin,Декор Арлекин,Двухцветный,Слабый,365,250,5,3,9,7,слабая,сильная,сильная,"Саженцы роз Декор Арлекин - это красивейшие растения с устойчивым цветочным ароматом!Бутоны овальные. Цветки бледно-розовые до белых, иногда половина цветка красная, чашевидной формы, рыхлые, мелкие , густомахровые (50— 70 лепестков), душистые, в крупных, плотных, красивых соцветиях до 5 штук. Листья мелкие, темно-зеленые, кожистые, блестящие. Шипы мелкие. Кусты до 3,5 м высотой, густые. Цветение обильное, в течение 30 дней. Не плодоносит. Зимостойкий. Устойчив к грибным болезням. Для вертикального озеленения, штамбовой культуры.",,pletictie_rozi,yes,Arlequin
,Джинджер Силлабаб,Абрикосовый,Средний,250,200,3,1,10,9,слабая,сильная,сильная,"                        Великолепная плетистая роза с янтарно-имбирными цветками, источающими волны чудесного аромата, намекающего на специи и фрукты. Цветок густомахровый, пионовидной формы, диаметром до 10 см, янтарно-золотой в центре и с розоватым отливом у внешних лепестков. Цветение повторное, в соцветиях по 3-5 шт., продолжительное. Листва блестящая, тёмно-зелёная, с высокой устойчивостью к болезням.","Harkness Великобритания, 2000",pletictie_rozi,yes,dzhindzher-sillabab
Jasmina,Жасмина,Розовый,сильный,300,250,10,5,7,6,слабая,средняя,средняя,"Плетистая роза Жасмин неожиданно удивит Вас своей неприхотливостью в выращивании и уходе! Цветки этого сорта обладают сиренево-розовым оттенком, для них характерна чашевидная форма, в кистях вырастает от 10 до 15 штук. Роза цветет достаточно обильно, а так же способна порадовать своего обладателя сильным сладким ароматом! Куст у данного сорта саженцев высотой достигает более полутора метров, ветвистый. Листва густая, средних размеров. Устойчивость к заболеваниям средняя (при своевременной обработке и профилактике болезнь не распространяется по кусту).",,pletictie_rozi,yes,zhacmina
Indigoletta,Индиголетта,Сиреневый,Сильный,300,250,3,1,10,8,средняя,средняя,средняя,"Саженцы роз Индиголетта получили свое изысканное название благодаря утонченному внешнему виду! Бокаловидные бутоны данного сорта имеют томный темно-фиолетовый цвет. Цветок махровый, может похвастаться тридцатью лепестками в одном цветке, диаметр цветка 8-10 см. Цветение обильное, продолжительное, повторное, цветки собраны в соцветия, на одном цветоносе в период массового цветения одновременно насчитывается 2-3 цветка. Растение сильнорослое, листва темно-зеленая, глянцевая, отличается достаточной плотностью. Устойчивость к заболеваниям средняя. ","Van de Laak, Нидерланды, 1981",pletictie_rozi,yes,indigoletta-indigoletta
Kiss me Kate,Кисс ми Кейт,Розовый,Сильный,,200,5,3,10,8,сильная,сильная,сильная,"                        Плетистая роза, вошедшая в коллекцию ""Parfuma"". Обладает очень насыщенным цитрусовым ароматом с нотками малины, зелёного яблока и мирры. Цветки диаметром 8-10 см, розовые, старинной розетковидной формы, густомахровые (60-80 лепестков). Цветение продолжительное, повторное, обильное. Листва тёмно-зелёная, глянцевая, с высокой устойчивостью к заболеваниям.",Kordes,pletictie_rozi,yes,kiss-mi-keyt
Laguna,Лагуна,Розовый,Сильный,250,200,5,3,11,10,сильная,сильная,сильная,"                        Сорт розы Лагуна очень устойчивый к заболеваниям, с прекрасным ароматом. Цветки ярко-розовые, густомахровые, в кистях по 6-8 шт. Листва темно-зеленая, густая, блестящая, средних размеров. Аромат очень сильный, фруктовый. Куст прямостоячий, ветвистый, до 2-2,5 м.",,pletictie_rozi,yes,laguna
,Лев Толстой,Красный,Средний,350,300,7,5,13,10,сильная,сильная,сильная,"Саженцы роз Лев Толстой названы в честь великого русского писателя 19 века, эти цветы украсят Ваш участок со свойственной им величавостью! Ярко-красные цветы классической формы потрясающе будут смотреться в различных цветочных композициях. Кусты данного сорта также вполне можно использовать для озеленения. Саженцы высотой достигают 3м, цветут примерно по 5 штук на стебле, бутоны источают вполне ощутимый аромат. Роза хорошо приживется в северных районах страны при условии, что будет правильно укрыта на зиму!",,pletictie_rozi,yes,lev-tolctoi
Maritim,Маритим,Малиновый,Слабый ,300,200,5,3,9,6,сильная,средняя,средняя,,,pletictie_rozi,yes,maritim
,Найт Оул,,Средний,420,300,5,3,11,9,средняя,средняя,средняя,                       ,,pletictie_rozi,yes,nayt-oul
