title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
bessi,Бесси,Оранжевый,сильный,60,40,5,3,5,4,средняя,средняя,средняя,"Почвопокровная роза Бесси - необычное решение, которое будет обращать на себя взоры прохожих. Ароматные бутоны саженцев данного сорта помимо своего размера (4-5см) радуют владельца еще и потрясающим насыщенным оттенком лепестков. Цветки собираются на стебле ""в компании"" по 4-5 штук, создавая яркую картину абрикосово-золотистых полутонов. Растение имеет хорошую устойчивость к мучнистой росе, а также стойко переживает холодное время года.",,pochvopokrovnie_rozi,yes,bessi
,Надя Мейяндекор,Желтый,Слабый,60,50,5,3,10,9,слабая,сильная,сильная," Почтовопокровный сорт с густомахровыми (95-98 лепестков) светло-жёлтым с белым краем цветами. Цветки диаметром 10-12 см, с приятным ароматом, в период массового цветения на одном цветоносе может располагаться одновременно до 10 - 12 цветков. Листва светло-зелёная, плотная, глянцевая, густая. Устойчивость к заболевания высокая. Зимоустойчивость высокая.","Meilland Франция, 2008",pochvopokrovnie_rozi,yes,nadya-meyyandekor
Rose Swany,Свани,Белый,,70,60,10,5,6,5,средняя,средняя,средняя," Сорт «Свани» представляет собой ветвистый, пышный кустарник, в высоту достигающий шестидесяти – семидесяти сантиметров, в ширину – полутора метров. Мелкие листья темно-зеленого цвета с бронзовым блестящим отливом. Небольшие, густые, махровые цветки, диаметром пять – шесть сантиметров, расположены на длинных стеблях, состоят примерно из сорока лепестков и собираются в зонтиковидные соцветия по пять – двадцать штук. Цветы белоснежного окраса иногда имеют в серединке розоватое пятнышко. В воздухе вокруг цветов витает слабый, легкий, но свежий и нежный розовый аромат.    Заказать саженцы роз Свани  в Москве можно, нажав кнопку ""в корзину""!                    ",,pochvopokrovnie_rozi,yes,swani
,Фиона,Малиновый,Слабый,100,80,10,5,8,7,слабая,сильная,сильная,"                        Почвопокровные саженцы роз Фиона шикарно застелят садовый участок алыми бутончиками. Кисти у саженцев этого сорта довольно крупные (5-10 бутонов по 7-8 см каждый), поэтому смотрятся они достаточно эффектно. Кусты этой розы имеют ""привычку"" расти в основном в ширину, не ограничивая себя в пространстве. Листья розы потрясающе справляются со всеми заболеваниями, внешне выглядят мелкими и блестящими.",Meilland Франция,pochvopokrovnie_rozi,yes,fiona
,Вег дер Зинне,Фиолетовый,Слабый,,70,5,3,8,6,сильная,сильная,сильная,"                        Цветки диаметром до 8 см, немахровые (5 лепестков), интенсивного пурпурно-фиолетового цвета с жёлтым центром и золотистыми тычинками. Аромат лёгкий. Первое цветение обильное, цветение повторное, до заморозков. Куст густой, высотой 70 см, шириной 50 см. Морозоустойчивость высокая. Листва мелкая, тёмно-зеленая, высокоустойчивая к заболеваниям.                    ","W. Kordes' Söhne Германия, 2013",pochvopokrovnie_rozi,yes,veg-der-zinne
,Йеллоу Фейри,Желтый,Слабый,80,70,10,3,4,3,слабая,средняя,средняя,"                        Роза Йеллоу Фейри – представительница почвопокровных видов, вобравшая в себя все наилучшие их качества: обильное цветение, лёгкость в уходе, самоформирующийся куст и морозоустойчивость. Покрытая густомахровыми, ярко – жёлтыми цветами, эта роза служит прекрасным украшением любого уголка сада. Цветки густомахровые, в кистях по 3-8 шт, покрывают всю поверхность растения. Они ярко-желтые когда только раскроются, с золотыми и янтарными тонами ближе к центру, но за пару следующих дней выгорают до лимонных и кремовых. Отцветшие цветки не осыпаются, а имеют тенденцию засыхать на кусте, но это не такой серьезный дефект, т.к. на месте старых всегда распускаются новые розочки. Куст открытый, красивой формы, с мелкой темно-зеленой листвой. ",,pochvopokrovnie_rozi,yes,yellou-feyri
,Книрпс,Розовый,Слабый,30,20,10,5,4,3,сильная,средняя,средняя,"                        Цветки ярко-розовые, розетковидные, густомахровые (80-85 лепестков), диаметром 3-4 см, собираются в соцветия. Аромата нет. Цветение повторное, обильное, почти непрерывное. Листья мелкие, тёмно-зелёные, блестящие, с высокой устойчивостью к заболеваниям. Морозостойкость высокая.","Kordes, Германия, 1997",pochvopokrovnie_rozi,yes,knirps
,Лавли Мейян,Розовый,Слабый,90,70,5,3,8,6,сильная,сильная,сильная,"                        Цвет цветков нежно-розовый с жемчужным оттенком. Бутоны некрупные, удлинённые, собираются в кисти по 3-7 штук. После полного роспуска полумахровые (около 20 лепестков) цветки становятся чашевидными и их настолько много, что листьев почти не видно. Листва среднего размера, Среднего размера, ​​полуглянцевая, зелёная. Устойчивость к болезням высокая. Морозостойкость высокая.                    ","Meilland, Франция, 2003",pochvopokrovnie_rozi,yes,lavli-meyyan
Les Quatre Saisons,Лес Кватрэ Сизонс,Розовый,Слабый,40,30,10,5,9,7,сильная,средняя,средняя," Цвет глубокий розовый. До 100 лепестков. Цветки крупные, густомахровые, появляются в больших кистях. Непрерывное цветение в течение всего сезона. Высота от 60 до 80 см. Сорт устойчив к дождю.  Почвопокровная роза. Раскидистый куст с ниспадающими побегами. Ярко-розовые густомахровые некрупные цветки в крупных кистях (10-15 бутонов) на концах побегов. На ярком солнце выгорают, не страдают от дождя. Для получения эффектных постоянно цветущих бордюров специалисты Мейяна рекомендуют розу не обрезать. Роза устойчива к болезням, вредителям и загрязнению окружающей среды, растет без пестицидов или лечения. Очень прочная листва, крупные цветки (до 9 см) с большим количеством лепестков (около 100 лепестков), устойчивы к дождю. Сорт может быть использован в массовых посадках, на склонах, или как почвопокровное растение. ","Meilland Франция, 2003",pochvopokrovnie_rozi,yes,Les%20Quatre%20Saisons
,Липстик,Розовый,Средний,80,70,5,3,,4,средняя,сильная,сильная,"                        Цветки полумахровые, яркой, нарядной окраски - они карминно-розовые, с ярко-жёлтыми тычинками и бело-серебристой тыльной стороной лепестков. Цветение обильное, почти непрерывное в течение всего сезона. Куст хорошо разветвлённый, листва мелкая, тёмно-зеленая, блестящая, с высокой устойчивостью к болезням.","Hans Jürgen Evers Германия, 2001",pochvopokrovnie_rozi,yes,lipstik
