title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
,Айвори Ив Пьяже,Кремовые,Сильный,90,70,,1,10,8,средняя,сильная,сильная,,,sadovye_rozy_premium_klassa,yes,ayvori-iv-pyazhe
,Анжи Романтика,,Очень Сильный ,100,70,,2,11,9,средняя,сильная,сильная,"                        Романтичнеская роза с деликатным, но сильным ароматом лимона и аниса. Густо-махровый (более 80 лепестков) цветок нежных кремово-розовых оттенков, чашевидной формой, в открытии в профиль напоминает цветок старинной ""антикварной"" розы. Стебель прямой и крепкий, длиной 70-100 см, отлично подходит для срезки: в вазе цветы простоят 10-12 дней.",Meilland ,sadovye_rozy_premium_klassa,yes,anzhi-romantika
Unforgettable,Анфогетбл,Кремовые,Средний,150,120,3,1,15,13,средняя,сильная,сильная,"                        Производитель: Нидерланды 2019г Unforgettable - одна из самых больших садовых роз. Ее цветение начинается с румяно-розового тона, который по мере отцветания сменяется мягким карамельным оттенком. ",,sadovye_rozy_premium_klassa,yes,anfogetbl
Wild Moss,Вайлд Мосс,,,,,,,,,,,,                       ,,sadovye_rozy_premium_klassa,yes,vayld-moss
,Вайт Вувузела,Кремовые,Слабый ,100,80,,1,10,9,,сильная,сильная,,De Ruiter Нидерланды,sadovye_rozy_premium_klassa,yes,vayt-vuvuzela
White Kahala,Вайт Кахала,Белый,Слабый,120,100,,1,9,7,средняя,средняя,средняя,"                        Роза Уайт Кахала (White Kahala) Грациозная роза с романтическим раскрытием округлого бутона. Пышные пионивидные цветки перламутрово-белые с зеленоватыми, изумрудными тонами.  Цветение в течение всего сезона до морозов. Кусты сильнорослые с ровными прямостоячими побегами. Грациозная роза с плотным пионовидным бутоном великолепна как в срезке в вазы, так и станет яркой изюминкой вашего сада.",Нидерланды,sadovye_rozy_premium_klassa,yes,vayt-kakhala
White Cloud,Вайт Клауд,Белый,Слабый,120,100,5,3,10,8,,,,"                        Воздушная пионовидная роза Вайт Клауд  действительно похожа на белоснежное облако. Крупный бутон состоит из множества кружевных лепестков , которые ближе к сердцевине  приобретает лёгкий персиковый оттенок . Цветок имеет приятный  сладкий аромат с едва ощутимыми нотками цитруса. Цветение очень обильное в течение сезона.",Kordes,sadovye_rozy_premium_klassa,yes,vayt-klaud
White O'Hara,Вайт Охара,Белый,Очень сильный,110,100,,1,14,10,средняя,средняя,средняя,"                        White O’Hara очень тонкая, с великолепным ароматом садовая роза, символ бесподобной красоты и романтики Лепестки бархатно-белые с легким перламутром на изгибах приобретают к центру цветочной розетки оттенок слоновой кости. Зефирные формы образуют большой романтический бутон. Красивый бокаловидный бутон медленно раскрывается и цветок постепенно увеличивается в ширину. Яркий цитрусовый аромат сопровождается шлейфом нот вербены, зеленого яблока и свежескошенной травы, аромат Франции, который чувствуется на расстоянии. Именно эта роза – любимица невест, ей украшают столы молодоженов и используют для свадебных букетов и бутоньерок.",,sadovye_rozy_premium_klassa,yes,vayt-okhara
Wedding X-Pression,Веддинг Экспрешн,Желтый,Слабый ,100,80,,1,10,8,средняя,сильная,сильная,,,sadovye_rozy_premium_klassa,yes,vedding-ekspreshn-
Westminster Abbey,Вестминстер Эбби,,,,,,,,,,,,                       ,,sadovye_rozy_premium_klassa,yes,vestminster-ebbi
