title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Agnes Schilliger,Агнес Шиллингер,Розовый,Сильный,120,100,3,1,12,11,слабая,сильная,сильная,,,shraby,yes,agnes-shillinger-
,Александра принцесса Люксембургская,Розовый,Средний,120,70,3,1,11,10,сильная,сильная,слабая,"                        Эта очаровательная роза цветёт нежно-кремово-розовыми густомахровыми цветками изысканной старинной формы, с более ярким тёмно-розовым центром. Аромат умеренный сладкий. Цветы собраны в небольшие соцветия на сильнорослом кусте с гибкими дугообразно согнутыми под тяжестью цветов ветвями с тёмно-зелёной, глянцевой, плотной листвой, устойчивой к заболеваниям. Цветение волнами, обильное, длительное.","W. Kordes & Sons Германия, 2000",shraby,yes,aleksandra-printsessa-lyuksemburgskaya
,Амандин Шанель,Розовый,Средний,100,90,,,8,6,сильная,сильная,сильная,"                        Роза Амандин Шанель (Amandine Chanel) , селекции Guillot-Massad - шраб из серии Дженероза (Generosa). Цвет розы клубнично розовый, со светлой оборотной стороной лепестков. Цветки густомахровые, среднего около 7 см. размера, лепестки плотно уложены, сгруппированы в кластеры от пяти до семи цветков . Цветок держится долго, не выгорает, не боится дождя. Аромат приятный легкий фруктовый. Куст невысокий, стройный, прямостоячий, высотой до 100 см., шириной до 70 см. Лист глянцевый, блестящий, устойчивый к болезням. Очень хорошее повторное цветение.",,shraby,yes,amandin-shanel
Anny Duperey,Анни Дюпрей,Желтый,сильный,110,80,5,3,9,8,слабая,сильная,сильная,"                        Роза Анни Дюпрей является молодым видом, который был выведен в 2006 году. Она стала популярна из-за ярких цветов и неприхотливого характера. Цветок - золотисто-жёлтый, романтической формы, густомахровый, 85 лепестков в одном цветке, диаметр цветка около 9 см. Аромат приятный, легкий, розово-лимонный. Цветение раннее, практически непрерывное. Зацветает в саду среди других роз одной из первых. Цветение повторное, обильное. Цветки собраются в соцветия, на одном цветоносе в период массового цветения одновременно может быть до 8 - 15 цветков. Куст прямостоячий, компактный, побеги отрастают быстро. Высота взрослого куста составляет от 80 до 110 см. Листва густая, тёмно-зеленая, полуматовая. Устойчивость к заболеваниям очень высокая.",,shraby,yes,anni-dyuprey
,Артемис,Белый,Сильный,130,110,10,5,6,4,сильная,сильная,,"                        Обильноцветущая кустарниковая роза с ностальгическими цветками шаровидной формы, кремово-белыми с зеленоватым оттенком на внешних лепестках, с интенсивным ароматом аниса. Цветки диаметром 5-8 см, собираются в роскошные зонтиковидные соцветия, состоящие из 5-10 цветков. Цветение повторное, почти непрерывное. Листва тёмно-зеленая, блестящая, с высокой устойчивостью к заболеваниям.","Tantau, Германия",shraby,yes,artemis
Astrid Grafin von Hardenberg,Астрид Графин фон Харденберг,,сильный,150,100,5,3,12,10,слабая,сильная,сильная,"                        Саженец с необычным названием Астрид Графин фон Харденберг был назван так в честь исторической личности - немецкой графини, жившей в 20 веке. Сорт отличается неповторимым розовым ароматом, который чувствуется на расстоянии от куста. К этому добавим особенную окраску цветков - они интенсивно бордовые, говоря о размерах бутонов, то можно с полной уверенностью сказать, что они крупные (10-12 см в диаметре), густомахровые, в стиле старинных роз. Сорт часто и обильно цветет, и его качество соответствуют сегодняшним требованиям к селекции роз. Для отправки заказчику на каждую розу вешается бирка с указанием сорта. Корневая система саженцев упаковывается во влажный торфяной субстрат и оборачивается плёнкой, что позволяет сохранить саженцы живыми и готовыми к высадке. Заказать саженцы роз Астрид Графин фон Харденеберг в Москве можно, нажав кнопку ""в корзину""!                    ",,shraby,yes,astrid-grafin-fon-khardenberg
Well Being,Велл Бинг,Абрикосовый,Сильный,150,120,5,3,10,8,средняя,сильная,сильная,,,shraby,yes,vell-bing-
Wellenspiel,Велленшпиль,Розовый,Слабый,120,100,5,3,10,8,средняя,средняя,средняя,"                        Нежно-розовые, густо-махровые, шаровидные цветки. Вертикальный куст, листва глянцевая, темно-зеленая.",Kordes,shraby,yes,vellenshpil
,Вентило,Малиновый,Сильный,80,70,3,1,12,10,слабая,сильная,сильная,"                        Роза 'Вентило' - кустовая роза из Коллекции Generosa ® селекции Доминик Массад (Dominique Massad, Франция, до 2009 г.). Красивый невысокий компактный куст с крупными карминно-розовыми цветками в винтажном стиле. Цветки густомахровые, диаметром 8 см., в которых плотно и филигранно уложена сотня волнистых лепестков. Аромат сильный, чудесный , напоминающий аромат дамасской розы, используемый в парфюмерии, с нотами абрикоса или персика, цитрусовых. Куст высотой до 80 см , ровный и аккуратный, с матовой сине зеленой листвой.                    ","Massad Франция, 2009",shraby,yes,ventilo
Versigny,Версайни,,,,,,,,,,,,                       ,,shraby,yes,versayni
