title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
ABDIEL,Абдиэль,Розовый,Средний,120,100,5,3,12,10,средняя,средняя,средняя,"                        Роза японской селекции с кораллово-розовыми густомахровыми ароматными цветами чашеобразной формы. При полном раскрытии показывают серединку. Аромат приятный, ощущается уже на стадии бутона. Цветение повторное, весь сезон. Высота взрослого куста - около 120 см.",,yaponskie_rozy,yes,abdiel
,Аои,Коричневый,Слабый,100,80,10,5,6,5,сильная,сильная,средняя,"                        Прекрасный сорт для новичка в розоводстве. Соцветия из 3-10 бутонов цветут в течении 2 х недель. Цветки переливаются разными оттенками розового, от лилового до припыленного цвета мальвы. Осенью появляются коричневые оттенки. Хотя в описании указан слабый чайный запах, но в действительности он чувствуется довольно хорошо, особенно осенью. Роза хороша для первого ряда. Противостоит всем разновидностям болезней, очень здоровая, однако осенью в октябре -ноябре побеги снизу стоят без листвы. ","Ken Osanai  Япония, 2008",yaponskie_rozy,yes,aoi
,Вагулетта,Фиолетовый,Средний,90,70,5,3,12,10,сильная,средняя,слабая,                        Роза Vaguelette японской селекции с крупными густомахровыми цветками пурпурно-фиолетового цвета с волнистыми лепестками . Аромат средней интенсивности с нотками цитрусовых. Роза с утонченными бутонами на прямостоячих побегах и кистевидными соцветиями по 3 - 5 цветков с повторным цветением. Роза хорошо себя проявляет в сезоны затяжных дождей и имеет хорошую устойчивость к морозам .,"Kawamoto Junko Япония, 2011",yaponskie_rozy,yes,vaguletta
,Вакана,Зеленый,Сильный,160,100,3,1,8,7,средняя,сильная,сильная,"                        Сорт японской селекции Вакана (Wakana), выведенный Такунори Кимура. Розу отличает оригинальный восковой молочно-салатовый цвет с зеленоватым отливом в основании лепестков. Оттенки цветков меняются в зависимости от погодных условий.  В жару оттенок нежно-салатовый, а в прохладную погоду приобретает более выраженный зеленый цвет. В неполном роспуске бутон цветка выглядит как раковина моллюска, хранящего в себе ценную перламутровую жемчужину. Раскрываясь, серединка розы приобретает легкий оттенок цвета карамели. Замечательно сложенный цветок размером 7 -8 см создает впечатление легкости и чистоты, и эти ощущения еще больше усиливаются приятным свежим ароматом с нотками зеленого чая. Куст прямостоячий, высотой 70-90 см, шириной 60 см. Предпочтительное размещение на хорошо освещенных солнечных местах. Нормально переносит жару, средне - дождь. Устойчивость к заболеваниям хорошая. Зимостойкость средняя, USDA зона 6.","Кимура Япония, 2006",yaponskie_rozy,yes,vakana
Daphne,Дафна,,,,,,,,,,,,                       ,,yaponskie_rozy,yes,dafna
Ioli,Йоли,Коричневый,Слабый,80,60,10,5,8,6,средняя,средняя,средняя,                       ,Keiji,yaponskie_rozy,yes,yoli
,Каоликазали,Абрикосовый,Сильный,,100,5,3,10,7,средняя,средняя,средняя,"                        Густомахровые, абрикосово-розовые цветки старинной формы с сильным фруктовым ароматом. Цветение в течение сезона.","Keiji Япония, 2012",yaponskie_rozy,yes,kaolikazali
,Корал Жели,Лососевые,Средний,,150,5,3,10,8,средняя,средняя,средняя,"                        Роза японской селекции ""Корал Жели"" (Corail gelee) , выведенная Junko Kawamoto . Лепестки цветков кораллового цвета, цветок как мягкая вкусная чаша, наполненная воздушным прозрачным желе. Роза с большими цветками диаметром 8-10 см , элегантной формы ""под старину"" и с насыщенным ароматом, который ощущается уже на стадии бутона. Фруктовый цветочный запах личи Цветение в соцветиях до 8 шт., обильное, многократное, почти непрерывное.","Kawamoto Junko Япония, 2011",yaponskie_rozy,yes,koral-zheli
,Корона,Лососевые,Средний,120,100,3,1,10,8,сильная,средняя,средняя,"                        Сорт Corona (Корона) селекции Kawamoto ( Япония, 2010 ) чайногибридная роза с крупными густомахровыми около 100 лепестков цветками нежного розово - кораллового цвета. Цветки размером 8-10 см с приятным легким фруктовым ароматом. Устойчивы к дождю и солнцу. Цветение повторное, одиночными цветками или кистью из 2-3 штук. Роза Corona формирует среднерослый куст высотой 100-120 см, шириной 60-70 см. Листва крупная матовая. Роза Corona отличается хорошей устойчивостью к заболеваниям. ","Kawamoto Япония, 2010",yaponskie_rozy,yes,korona
Lavender Crystal,Лавендер Кристалл,Сиреневый,Средний,50,40,5,3,6,4,средняя,средняя,средняя,"                        Лиловая или лиловая с оттенками, более тёмная в серединке миниатюрная роза. Аромат от мягкого до сильного, с нотками специй. Средний диаметр 5 см. Очень махровые (41+ лепестков), лохматые, ностальгической формы цветы. Цветет волнами на протяжении сезона . Высота от 40 до 50 см.",Asami,yaponskie_rozy,yes,lavender-kristall
