,image,rose_id
0,abdiel_image_1.jpeg,abdiel
1,abdiel_image_2.jpeg,abdiel
2,abdiel_image_3.jpeg,abdiel
3,abdiel_image_4.jpeg,abdiel
4,abdiel_image_5.jpeg,abdiel
5,aoi_image_1.jpeg,aoi
6,aoi_image_2.jpeg,aoi
7,aoi_image_3.jpeg,aoi
8,aoi_image_4.jpeg,aoi
9,aoi_image_5.jpeg,aoi
10,vaguletta_image_1.jpeg,vaguletta
11,vaguletta_image_2.jpeg,vaguletta
12,vaguletta_image_3.jpeg,vaguletta
13,vaguletta_image_4.jpeg,vaguletta
14,vaguletta_image_5.jpeg,vaguletta
15,vaguletta_image_6.jpeg,vaguletta
16,vaguletta_image_7.jpeg,vaguletta
17,vaguletta_image_8.jpeg,vaguletta
18,vaguletta_image_9.jpeg,vaguletta
19,vakana_image_1.jpeg,vakana
20,vakana_image_2.jpg,vakana
21,dafna_image_1.jpeg,dafna
22,dafna_image_2.jpeg,dafna
23,dafna_image_3.jpeg,dafna
24,dafna_image_4.jpeg,dafna
25,dafna_image_5.jpeg,dafna
26,dafna_image_6.jpeg,dafna
27,dafna_image_7.jpeg,dafna
28,dafna_image_8.jpeg,dafna
29,yoli_image_1.jpeg,yoli
30,yoli_image_2.jpeg,yoli
31,yoli_image_3.jpeg,yoli
32,yoli_image_4.jpeg,yoli
33,kaolikazali_image_1.jpeg,kaolikazali
34,kaolikazali_image_2.jpeg,kaolikazali
35,kaolikazali_image_3.jpeg,kaolikazali
36,koral-zheli_image_1.jpeg,koral-zheli
37,koral-zheli_image_2.jpeg,koral-zheli
38,koral-zheli_image_3.jpeg,koral-zheli
39,koral-zheli_image_4.jpeg,koral-zheli
40,korona_image_1.jpeg,korona
41,korona_image_2.jpeg,korona
42,korona_image_3.jpeg,korona
43,korona_image_4.jpeg,korona
44,korona_image_5.jpeg,korona
45,lavender-kristall_image_1.jpeg,lavender-kristall
46,lavender-kristall_image_2.jpeg,lavender-kristall
47,lavender-kristall_image_3.jpeg,lavender-kristall
48,lavender-kristall_image_4.jpeg,lavender-kristall
49,likukhotalu_image_1.jpeg,likukhotalu
50,likukhotalu_image_2.jpeg,likukhotalu
51,likukhotalu_image_3.jpeg,likukhotalu
52,likukhotalu_image_4.jpeg,likukhotalu
53,likukhotalu_image_5.jpeg,likukhotalu
54,masora_image_1.jpeg,masora
55,masora_image_2.jpeg,masora
56,masora_image_3.jpeg,masora
57,masora_image_4.jpeg,masora
58,masora_image_5.jpeg,masora
59,masora_image_6.jpeg,masora
60,masora_image_7.jpeg,masora
61,masora_image_8.jpeg,masora
62,mikoto_image_1.jpeg,mikoto
63,mikoto_image_2.jpeg,mikoto
64,mikoto_image_3.jpeg,mikoto
65,mikoto_image_4.jpeg,mikoto
66,misaki_image_1.jpeg,misaki
67,misaki_image_2.jpeg,misaki
68,misaki_image_3.jpeg,misaki
69,misaki_image_4.jpeg,misaki
