title_en,title_ru,color,aroma,max_bush_height,min_bush_height,max_number_flawers,min_number_flawers,max_size_number,min_size_number,rain_resistance,powdery_mildew_resistance,black_spot_resistance,description,greenhouse,category,in_stock,slug
Peach Avalanche,Аваланж Пич,Кремовые,Слабый,80,70,,1,13,10,средняя,средняя,средняя,"Романтичная роза Аваланж Пич (Peach Avalanche) - это определенно срезочный сорт, цветы которого можно собрать в шикарный букет или преподносить поодиночке! Светло-абрикосовые, средне-махровые (17-25 лепестков) цветки классической формы чайно-гибридной розы с высоким центром идеально смотрятся в вазе, на побегах - одиночные. Не стоит умалять достоинств куста этого сорта - вертикальный, с ярко-зеленой, матовой листвой, он роскошно встанет среди прочих растений в Вашем саду, привлекая к себе все внимание. Лепестки этой розы блистают изумрудно-желтым отливом, бледнеющим по мере роспуска цветка. Саженцы этого растения лучше всего высаживать в рыхлую почву на хорошо освещенный участок.   ","Lex Voorn, Нидерланды, 2007",hybrid_tea_rose,yes,peach-avalanche
,Авангард,Сиреневый,Слабый,70,50,,1,10,8,слабая,слабая,слабая,"                        Роза сорта Aвангард относится к чайно-гибридной группе и может простоять в вазе около 2 недель. Бутоны отличаются нежным лавандовым оттенком с разной насыщенностью. Цветок состоит из 60 лепестков с четкими контурами. Стебель и листья растения насыщенно зеленые. В среднем стебель достигает 60 – 80 см в высоту, а шипы на нем почти отсутствуют. Аромат ненавязчивый и едва уловимый, что сполна компенсируется броским внешним видом бутона стального сиреневого цвета разной яркости. Саженцы лучше высаживать в солнечных местах, потому что в тени роза тускнеет и перестает цвести, а на листьях образуются темные пятна. Также в тени появляется множество слепых побегов. Зато на солнце кустарник может показать себя во всей красе. ","Petrus Nicolaas Johannes Schreurs, Нидерланды",hybrid_tea_rose,yes,avangard
Augusta Luise,Августа Луиза,Розовый,Сильный ,120,70,5,3,15,12,слабая,сильная,сильная,"                        Огромные цветки саженцев роз Августа Луиза выращены специально для того, чтобы украсить Ваш сад! В солнечную погоду лепестки этой дивной розы приобретают оттенок нежного розового заката, если на улице дождь - бутоны этих саженцев непременно окрасятся в более легкие персиковые тона. Если Вы предпочитаете любоваться цветами в срезе - данный сорт отлично подойдет для этих нужд за счет своих объемных цветков и достаточно длинных стеблей! Сорт прекрасно справляется с болезнями, более трудно переживает дождь.","Tantau, Германия, 1999",hybrid_tea_rose,yes,avgusta-luiza
,Адмирал,Красный,Очень сильный,120,80,3,1,15,12,сильная,сильная,сильная,"                        Эта чайно-гибридная роза из серии Nostalgie сначала завораживает своими таинственными черными бутонами. Бутоны открываются в крупные, бархатные, рубиново-красные цветы. Прекрасная наполненность лепестками, магический цвет и сладкий грушевый аромат этой розы очаровывают. Роза пригодна для срезки, для клумб и для посадки небольшими группами.",Tantau,hybrid_tea_rose,yes,admiral
,Азафран,Абрикосовый,Слабый,110,100,,1,8,7,сильная,сильная,слабая,,,hybrid_tea_rose,yes,azafran
Accademia,Академия,Розовый,Очень сильный,100,80,3,1,12,10,сильная,сильная,сильная,"                        Чайно-гибридная роза с цветками насыщенного розово-фиолетового цветка и темно-зеленой толстой листвой среднего размера. За свой очень сильный аромат получила несколько престижных наград. Цветок необычной формы: шаровидный бутон, который при открытии приобретает глубоко-чашевидную форму. Новые побеги изначально имеют яркий красновато-коричневый оттенок. Цветёт в течение всего сезона. Устойчива к болезням.",,hybrid_tea_rose,yes,akademiya-
,Альянс,Красный,слабый,120,100,,1,8,6,средняя,средняя,средняя,"Превосходный сорт саженцев роз Альянс является фаворитом многих садоводов!   Цветки нежные, двухцветные, необычной раскраски, лепестки белые снаружи и красные изнутри, в основном – одиночные. От чайных роз это нежное растение унаследовало прекрасную форму цветка, легкий аромат и удивительную способность цвести почти непрерывно. От ремонтантной формы-прародителя роза приняла в наследство твердость древесины и неплохую устойчивость к холодам. Куст средней высоты (100 – 120 см), растет прямо, отличается ветвистостью.               ","Keisei Rose Nursery, Япония, 2002",hybrid_tea_rose,yes,al-yanc
Ambiance,Амбианс,Желтый,Слабый,100,80,3,1,10,8,средняя,средняя,сильная,"Категорически разные цвета удивительно гармонично сочетаются на лепестках саженцев роз Амбианс (Ambiance). Желтые цветки с хорошо очерченной малиново-красной каймой украсят Ваш сад! Бутоны издают легкий, мягкий аромат. Цветки с высоким центром (26-40 лепестков), классической формы. Растение цветет в течение всего сезона. Сорт вполне может быть использован для срезки цветов, ведь роза отличается небольшим количеством шипов на стебле, но чаще всего его применяют для декорирования участков.   ","NIRP International, Франция, 1998",hybrid_tea_rose,yes,ambiance
Amnesia,Амнезия,,слабый,100,80,,1,9,7,средняя,средняя,слабая,"                        Эта необычная и эффектная роза относится к группе чайно-гибридных роз. Ее цветки характеризуются ботаниками густомахровые и имеющие бокаловидную форму. Отдельного внимания достоин цвет розы Амнезии: некоторые называют его зеленоватой лавандой, другие считают пепельно-сиреневым с приятным оливковым отливом. В отличие от французских роз, эквадорская роза Амнезия обладает совсем легким, но свежим ароматом, свойственным многим сортам роз.  Цветет роза Амнезия с середины лета до начала осени. Если говорить о размерах, то средняя высота куста – восемьдесят-сто двадцать сантиметров, ширина – семьдесят-восемьдесят сантиметров. Размер же самой розы Амнезии составляет примерно девять-десять сантиметров. В вазе срезанная роза Амнезия стоит около десяти-двенадцати дней. Роза Амнезия невероятно устойчива к любым перепадам температур, этим объясняется ее зимостойкость. Также цветок обладает таким же хорошим иммунитетом к болезням.",,hybrid_tea_rose,yes,amneziya
Anastasia,Анастасия,Белый,Слабый,110,100,,1,12,10,сильная,средняя,средняя,"Саженцы роз Анастасия обладают бешеной популярностью благодаря своей универсальности! Крупные цветки из 26-40 лепестков своей формой напоминают бокал, имеют свойство распускаться величественно неторопливо, продлевая удовольствие. Белая роза годится для срезки, отлично будет смотреться в букете и станет изысканным подарком для близкого человека! Листва темно-зеленая, глянцевая, тонко обрамляет изящные бутоны, стебли прямые, крепкие, с небольшим количеством шипов. От такого сорта не следует ожидать резкого аромата или небывалой выносливости - нежнейшие бутоны издают слегка уловимый цветочный аромат и требуют к себе внимания, а также должного ухода.    ",,hybrid_tea_rose,yes,anactaciya-anastasia
